id,status,votes,title,avg_age,polarity,budget,point/cost,points,category,level,district,detailed_localization,description,attachments
256,niewybrany,376,Budowa wypożyczalni rowerów integracyjnych typu handbike wraz zapleczem socjalno-sanitarnym ,0,6,300000,300000.0,1,rowery,150 tys. zł - 500 tys. zł,Wrocław,"Wrocław, ul. Popowicka, AR_8, 5/14","Projekt dedykowany jest dla osób niepełnosprawnych jak i pełnosprawnych, mieszkańców Wrocławia jak również gości naszego miasta. Rower typu handbike pozwala na swobodne i niezależne przemieszczanie się po mieście osobom niepełnosprawnym. Dzięki wypożyczalni osoby niepełnosprawne będą mogły pełniej korzystać z walorów życia miejskiego, kolejna dziedzina z życia przeciętnego Kowalskiego, taka jak jazda na rowerze, jest dosłownie na wyciągnięcie ręki. Stworzenie takiego miejsca zwiększy integrację osób pełnosprawnych i niepełnosprawnych. 
Projekt powstał z uwagi na fakt, że we Wrocławiu na chwilę obecną nie ma takiego miejsca a mając styczność na co dzień z osobami niepełnosprawnymi, wiemy jak bardzo jest to potrzebna inwestycja. 
Projekt składa się z dwóch elementów; pierwszy to wiata rowerowa; drugi element to budynek socjalno-sanitarny w zabudowie kontenerowej (parterowej) o powierzchni ok. 50mkw. Budynek o charakterze zabudowy biurowej lub ekspozycyjnej z możliwością użytkowania przez cały rok, w którym strudzeni podróżnicy będą mogli odpocząć, podzielić się wrażeniami, skorzystać z sanitariatu przystosowanego do potrzeb osób niepełnosprawnych, skonsumować posiłek, naprawić czy wyregulować rower. W budynku będą odpowiednie poręcze umożliwiające przesiadkę osobie niepełnosprawnej z wózka na rower integracyjny.
Budynek spełniający rolę świetlicy ? klubu wyposażony będzie we wspomniany moduł wc, umywalkę kuchenną wraz zabudową, urządzenia typu czajnik, toster, opiekacz, kuchenka mikrofalowa, stoły, krzesła, szafki, narzędzia rowerowe, podnośnik, system grzewczo-chłodzący.
Rowery do wypożyczalni użyczy Stowarzyszenie Absolwentów Wyższej Szkoły Bankowej we Wrocławiu. ",[]
373,bd,,Odbudowa szkoły katolickiej z przeznaczeniem na Dom Kultury im. Jana Pawła II ,0,0,1300000,1300000.0,1,inne,od 500 tys. zł,Żerniki,"ul. Żernicka 242, obręb Żerniki, AM 30, dz. nr 38",projekt zgłoszony w wersji papierowej,"[['http://projekty-wbo.wroclaw.pl/files/attachments/373/373_0.pdf', '\n\n\nZałącznik nr 1\n\n']]"
405,niewybrany,341,zielony Muchobór - zielony skwer przy Buczackiej ,0,-3,150000,150000.0,1,zieleń miejska,do 150 tys. zł,Muchobór Wielki,działka nr 16/1 przy ul. Buczackiej nad rzeką Kasina,"projekt był zgłaszany w poprzedniej edycji WBO jednak z uwagi na koszty został wyjęty z realizowanego projektu.
nowy pomysł na to miejsca zakłada:
- uprzątnięcie terenu
- odchwaszczenie, usunięcie dziczek
- rozbiórkę ruin małego budynku
- nowe nasadzenia wysokie i niskie
- obsianie trawą
",[]
28,bd,,Przekształcenie nieużytków w teren parkowo-rekreacyjny wraz z małą architekturą. ,0,0,110000,110000.0,1,rekreacja,do 150 tys. zł,Gaj,Wrocław-Gaj ul.Kłodzka,"W tej okolicy w ostatnich latach wybudowano setki mieszkań, a nie ma miejsca na spacer z dzieckiem w przyjemnych okolicznościach natury.  Mieszkają tu głównie młode małżeństwa  z małymi dziećmi,więc rzecz jest naprawdę potrzebna. To miejsce służyło by nam również do aktywnego spędzania czasu wolnego.Taki teren na pewno sprawiłby nam wiele radości. Obecnie działka jest zaniedbana, nie oświetlona, porosinięta wysoką roślinnością przez co stwarza  zagrożenie dla okolicznych mieszkańców. Były już przypadki włamań do mieszkań właśnie od strony wspomnianej działki. Na tej działce często koczują bezdomni co potęguje niebezpieczeństwo.Pomysł ten wiąże  ze sobą poprawę bezpieczeństwa i  estetyki naszego miasta.",[]
237,wybrany,508,Pas rowerowy na ul. Ruskiej  ,0,2,100000,100000.0,1,rowery,do 150 tys. zł,Stare Miasto,ul. Ruska i pl. Jana Pawła II,"Wyznaczenie pasa rowerowego na ul. Ruskiej i pl. Jana Pawła II od ul. Sokolniczej do Kazimierza Wielkiego, przy zawężeniu istniejących pasów ruchu, wymianie nawierzchni na nieużywanej zatoce autobusowej przy fontannie oraz zapewnieniu pierwszeństwa przejazdu osobom poruszającym się rowerami, chcącym pojechać prosto lub w lewo, względem aut skręcających w prawo, na skrzyżowaniu z ul. Kazimierza Wielkiego. Jest to jedyna możliwość udrożnienia dla ruchu rowerowego ul. Ruskiej (obecnie ruch ten odbywa się przez zbyt szybko jadące auta po chodniku lub niekiedy pod prąd na ul. św. Mikołaja).",[]
179,bd,,Nasadzenia drzew w pasie zieleni ul. Grabiszyńskiej ,0,-1,75200,75200.0,1,zieleń miejska,do 150 tys. zł,Przedmieście Świdnickie,"ul. Grabiszyńska 9-23, 35-49, 2-16, 36","Nasadzenia drzew w wyżej wymienionych lokalizacjach znacząco poprawi wizualny odbiór ulicy w ścisłym centrum miasta. Dodatkowo drzewa wyciszają hałas ulicy co wpłynie pozytywnie na mieszkańców okolicznych budynków. Nasadzenie drzew przy ulicy spowoduje optyczne zwężenie ulicy co przełoży się na zmniejszenie prędkości na tej arterii komunikacyjnej.
Dodatkowe zalety z sadzenia drzew w mieście:
?	poprawiają mikroklimat wzbogacając powietrze w tlen, podnosząc wilgotność powietrza i zmniejszając dobowe wahania temperatury, jonizując korzystnie powietrze i wydzielając bakteriobójcze fitoncydy, 
?	osuszają grunt pobierając wodę z terenu rozleglejszego niż powierzchnia rzutu ich koron, 
?	rozpraszają fale dźwiękowe, a więc zmniejszają uciążliwość hałasu, 
?	zatrzymują pyły i inne zanieczyszczenia, 
?	rozpraszają strumienie powietrza zmniejszając uciążliwość silnych wiatrów, 
?	zapewniają cień w upalne dni i ułatwiają cyrkulację powietrza, 
",[]
45,niewybrany,874,Obustronne utwardzenie pobocza jezdni a następnie  adaptacja pobocza  w celu wydzielenia chodnika dla pieszych przy ul. Głównej i Wilkszyńskiej od ul Stabłowickiej do  ulicy Gwizdanowskiej. ,0,3,1500000,1500000.0,1,droga,150 tys. zł - 500 tys. zł,Leśnica,"Główna - Obręb: Marszowice, Arkusz AR 16, działka 15 Wilkszyńska - Obręb: Marszowice, Arkusz AR 16, działka 13","Biorąc pod  uwagę bezpieczeństwo pieszych jak również prowadzących pojazdy mechaniczne zgłaszam projekt Budżetu  Obywatelskiego polegający na obustronnym  utwardzeniu  pobocza  jezdni ul. Wilkszyńskiej i Głównej na odcinku 1240 m  ( od skrzyżowania z ul. Stabłowicką do skrzyżowania     z ulicami Gwizdanowską i Małomicką ). W/W odcinek jest bardzo często  wykorzystywany przez pieszych , którzy poruszają  się w świetle jezdni przez co stwarzają duże  zagrożenie  wypadkiem 
dla  siebie jak i dla kierujących pojazdami. Piesi nie maja możliwości poruszania się poboczem drogi  ze  względu na brak utwardzenia i liczne ubytki nawierzchni  pobocza co jest udokumentowane załączonymi  zdjęciami.  Poszerzenie drogi  z obu stron o 80 cm pozwoliło by na wydzielenie poprzez oznakowanie poziome (biała linia ciągła) utwardzonego pobocza , które  można  by było zaadoptować na chodnik dla pieszych. Pozwoliło by to na bezpieczne  przemieszczanie się  mieszkańców dzielnicy  Marszowice  jak również  w znacznym  stopniu wpłynęło by  na  bezpieczeństwo  jazdy  kierowców którzy w ostatnim czasie spowodowali  dużo wypadków w tym rejonie. Biorąc pod uwagę rozbudowę dzielnicy  Stabłowice , Marszowice i przesuwającą  się w kierunku  Wilkszyna  infrastrukturę  budowlaną oraz  wzrost  liczebności  samochodów  istnieje  coraz  większa  potrzeba  wydzielenia  bezpiecznych  miejsc na poruszanie  się dla  pieszych , dlatego  bardzo proszę   o przeanalizowanie w/w projektu i wydanie  opinii  pozytywnej w celu jego  realizacji.  ","[['http://projekty-wbo.wroclaw.pl/files/attachments/45/45_1.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://projekty-wbo.wroclaw.pl/files/attachments/45/45_2.pdf', '\n\n\nZałącznik nr 2\n\n']]"
481,niewybrany,4582,Budowa infrastruktury Baseballowej we Wrocławiu - korzyści dla wszystkich! ,0,1,1500000,1500000.0,1,sport,od 500 tys. zł,Psie Pole-Zawidawie,"teren przy ul. Niepodległości na Zakrzowie, działki AR_10 nr 3/4 i AR_11 nr 2/4",projekt zgłoszony w wersji papierowej,"[['http://projekty-wbo.wroclaw.pl/files/attachments/481/481_1.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://projekty-wbo.wroclaw.pl/files/attachments/481/481_2.pdf', '\n\n\nZałącznik nr 2\n\n'], ['http://projekty-wbo.wroclaw.pl/files/attachments/481/481_3.pdf', '\n\n\nZałącznik nr 3\n\n']]"
43,niewybrany,209,Rewitalizacja wnętrza międzyblokowego ,0,0,350000,350000.0,1,inne,od 500 tys. zł,Nadodrze,"ul. Słowiańska od nr 1-9, Kręta od nr 2-4-6, ul. Ołbińska od nr 3-5-7-9",Projekt zgłoszony w wersji papierowej,"[['http://projekty-wbo.wroclaw.pl/files/attachments/43/43_0.pdf', '\n\n\nZałącznik nr 1\n\n'], ['http://projekty-wbo.wroclaw.pl/files/attachments/43/43_1.pdf', '\n\n\nZałącznik nr 2\n\n']]"
377,bd,,Droga rowerowa na al. Karkonoskiej i ul. Powstańców Śląskich ,0,0,1500000,1500000.0,1,rowery,od 500 tys. zł,Krzyki-Partynice,al. Karkonoskiej i ul. Powstańców Śląskich od ul. Zwycięskiej od ul. Kutnowskiej,"Projekt polega na zaprojektowaniu i budowie drogi rowerowej na al. Karkonoskiej i ul. Powstańców Śląskich  od ul. Zwycięskiej do ul. Kutnowskiej. Odcinek ten nie posiada infrastruktury rowerowej a łączy południowe, wciąż rozbudowujące się osiedla z istniejącą na ul. Powstańców Śląskich infrastrukturą rowerową. Stanowi również najważniejszą trasę prowadzącą na południe województwa dolnośląskiego oraz do centrum handlowego Bielany.",[]
